CPD_UNIT,STAR1,FIRST_NAME,LAST_NAME,MI,RANK
313,2652,NEAL,SCHULTZ,A,SERGEANT OF POLICE
022,278,THOMAS,MC NICHOLAS,P,LIEUTENANT OF POLICE
704,18377,JULIO,HERNANDEZ,F,POLICE OFFICER
606,20437,DAVID,SALAZAR,,PO AS DETECTIVE
002,594,TAMARA,MARGOLIS,B,LIEUTENANT OF POLICE
003,1937,TYRONE,PENDARVIS,M,SERGEANT OF POLICE
051,5817,JULIE,DICKENS,R,POLICE OFFICER
630,20765,MICHAEL,SANCHEZ,K,PO AS DETECTIVE
019,414,MICHAEL,STISCAK,J,LIEUTENANT OF POLICE
620,21258,SHARON,WALKER,K,PO AS DETECTIVE
051,12522,DANIEL,MC GREAL,E,POLICE OFFICER
001,18513,ARTEMIO,PENA,,POLICE OFFICER
010,19304,PATRICIA,PAWLAK,A,POLICE OFFICER
701,9103,KIMBERLY,ALEXANDER,,POLICE OFFICER
620,20874,MICHAEL,D AMBROSIA,V,PO AS DETECTIVE
167,1507,WANDA,TORRES,I,SERGEANT OF POLICE
005,19819,GREGORY,JONES,D,POLICE OFFICER
701,11329,MICHAEL,DAHILL,J,POLICE OFFICER
162,11662,CARTHELL,SANDERS,L,POLICE OFFICER
610,21021,ALFREDO,VIVAS JR,,PO AS DETECTIVE
014,1420,WILLIAM,MC CLELLAND III,J,SERGEANT OF POLICE
277,18630,ROBERT,WARZOCHA,T,PO ASGN EVID. TECHNI
353,19264,MICHAEL,BROWNE,C,POLICE OFFICER
241,12608,JAMES,CALACE,N,POLICE OFFICER
016,1804,MARK,VANDERPLOEG,F,SERGEANT OF POLICE
001,19971,JAMES,JEFFRIES,F,POLICE OFFICER
019,6128,SUSAN,HIGHAM,L,POLICE OFFICER
014,15987,SHAWN,HALLINAN,M,PO/FIELD TRNING OFF
007,2008,STEPHEN,COYNE,W,SERGEANT OF POLICE
002,2752,KAREN,POTTS,Y,POLICE OFFICER
005,13556,VERNON,WATSON  JR,A,POLICE OFFICER
012,1289,ARTHUR,YOUNG,M,SERGEANT OF POLICE
442,21121,JAMES,KELLY,M,EXPL TECH 1
543,7159,CRAIG,DUNDERDALE,A,POLICE OFFICER
353,12318,KEITH,FLEMING,A,POLICE OFFICER
630,21223,THOMAS,CONLEY,N,PO AS DETECTIVE
701,617,DALE,KINGSLEY,R,LIEUTENANT OF POLICE
050,6183,GLEN,SZESZOL,A,POLICE OFFICER
024,4702,JAMES,LEE,F,POLICE OFFICER
121,3032,FRANKLIN,WIGGINS,E,POLICE OFFICER
001,19532,JAMES,MC HUGH,P,POLICE OFFICER
277,17100,BRIAN,SMITH,J,POL FORENSIC INV I
630,20730,CHERYL,BRONKEMA,C,PO AS DETECTIVE
313,12683,LLOYD,MOCK,J,POLICE OFFICER
025,2231,WILFREDO,TORRES JR,,SERGEANT OF POLICE
009,1484,JAMES,HLADIK,R,SERGEANT OF POLICE
016,6015,JULIE,JOHNSON,A,POLICE OFFICER
004,2137,BRIAN,O LEARY,D,SERGEANT OF POLICE
012,4215,MARGARET,GUTIERREZ,E,POLICE OFFICER
012,18285,RICHARD,MOTA,,POLICE OFFICER
002,6837,SAMUEL,SMITH,D,POLICE OFFICER
610,20420,RONALD,JASICA,A,PO AS DETECTIVE
017,872,THOMAS,LINNANE,P,SERGEANT OF POLICE
630,20124,KEVIN,MULLANE,T,PO AS DETECTIVE
019,9592,KELLEE,SIMZ,R,POLICE OFFICER
014,17719,BRIAN,MILNER,G,POLICE OFFICER
019,19856,MARY,O'CALLAGHAN,K,POLICE OFFICER
018,12391,MICHAEL,WRIGHT,J,POLICE OFFICER
009,455,TIFFANY,GORMAN,L,LIEUTENANT OF POLICE
211,1382,PHILLIP,HAYMAN,H,SERGEANT OF POLICE
019,18732,JORGE,LOPEZ,,POLICE OFFICER
701,19792,CYNTHIA,DEL VALLE,I,POLICE OFFICER
610,21150,GALO,GUTIERREZ,R,PO AS DETECTIVE
024,9669,JACK,KOZARITZ,P,POLICE OFFICER
014,10319,JESSIE,ROSARIO JR,A,POLICE OFFICER
016,16877,CHRIS,MAKSUD,T,POLICE OFFICER
312,5673,SEAN,CAMPBELL,P,POLICE OFFICER
001,2564,JOHN,OWEN,W,SERGEANT OF POLICE
341,903,JOSEPH,PERILLI,,SERGEANT OF POLICE
008,19590,FRANK,PONCE,P,PO/FIELD TRNING OFF
610,21205,KEVIN,FRON,E,PO AS DETECTIVE
008,10613,JAMES,FOLEY,B,POLICE OFFICER
277,18902,CARA,COSTELLO,A,PO ASGN EVID. TECHNI
630,20362,PHILLIP,BROWN,H,PO AS DETECTIVE
014,1731,GEORGE,GRANIAS,A,SERGEANT OF POLICE
012,2111,ANTHONY,PATRICK,C,SERGEANT OF POLICE
180,20867,MICHAEL,CHIOCCA,J,PO AS DETECTIVE
015,340,ALLEN,LEE,G,LIEUTENANT OF POLICE
050,15578,CARLOS,RIVERA,R,POLICE OFFICER
057,1999,JOHN,MAPLES JR,R,SERGEANT OF POLICE
442,2320,JAMES,EGAN,A,SERGEANT OF POLICE
261,19944,CORDIA,ARRINGTON,M,POLICE OFFICER
004,5582,CAROL,DAVROS,B,POLICE OFFICER
620,20659,NICHOLAS,CIKULIN,C,PO AS DETECTIVE
001,6489,STEVEN,JOHNSON,A,POLICE OFFICER
701,4031,WILLIE,AKERSON,L,POLICE OFFICER
004,17518,ESTELLA,PEREZ-STANFORD,M,POLICE OFFICER
171,3668,SAMUEL,LEWIS JR,E,POLICE OFFICER
014,1834,JULIO,HERNANDEZ,A,SERGEANT OF POLICE
015,14466,DOMINICK,COLUCCI,J,POLICE OFFICER
057,11941,EFRAIN,GUTIERREZ,,POLICE OFFICER
009,1338,JAMES,MC CARTHY,P,SERGEANT OF POLICE
016,10616,SPYROS,LEZIMIS,P,POLICE OFFICER
127,399,DANIEL,KRANZ,R,LIEUTENANT OF POLICE
015,10570,KENNETH,JACKSON,W,POLICE OFFICER
012,16449,SCOTT,MARTIN,C,POLICE OFFICER
050,11789,PAUL,DAVENPORT,B,PO/EXP DET CAN HAND
001,14097,CHARLES,WEYER,R,POLICE OFFICER
019,711,PATRICIA,NELLI,A,LIEUTENANT OF POLICE
018,19479,JAMES,FELTON,E,POLICE OFFICER
016,12843,VITO,GIOVANNIELLI,,POLICE OFFICER
016,344,TERENCE,FORBES JR,P,LIEUTENANT OF POLICE
212,2616,VERNARD,ROSS,,SERGEANT OF POLICE
124,10275,EMANUEL,MUHAMMAD,,POLICE OFFICER
177,1359,CHARLES,MAIDA,V,SERGEANT OF POLICE
016,19432,GARY,CAIN,T,POLICE OFFICER
014,19821,ROBERT,ROMERO,J,POLICE OFFICER
022,1812,EDWARD,HURLEY,F,SERGEANT OF POLICE
606,20993,LAWRENCE,HERHOLD,J,PO AS DETECTIVE
024,12339,ROBERT,DWORAK,J,POLICE OFFICER
051,10309,MARK,FARMER,B,POLICE OFFICER
620,20024,RICHARD,GLENKE,A,PO AS DETECTIVE
050,5600,STANLEY,KUPRIANCZYK,H,POLICE OFFICER
211,404,DION,BOYD,,COMMANDER
610,21230,THOMAS,KARPINSKI,L,PO AS DETECTIVE
